,baseline,variation,lambda,USA,EUR,JAP,CHN,BRA,IND,ROW
303,501,2.0,0.303,0.01,0.01,0.01,12.0,12.0,12.0,12.0
304,501,2.0,0.304,0.01,0.01,0.01,12.0,12.0,12.0,12.0
305,501,2.0,0.305,0.01,0.01,0.01,12.0,12.0,12.0,12.0
306,501,2.0,0.306,0.01,0.01,0.01,12.0,12.0,12.0,12.0
307,501,2.0,0.307,0.01,0.01,0.01,12.0,12.0,12.0,12.0
308,501,2.0,0.308,0.01,0.01,0.01,12.0,12.0,12.0,12.0
309,501,2.0,0.309,0.01,0.01,0.01,12.0,12.0,12.0,12.0
310,501,2.0,0.31,0.01,0.01,0.01,12.0,12.0,12.0,12.0
311,501,2.0,0.311,0.01,0.01,0.01,12.0,12.0,12.0,12.0
312,501,2.0,0.312,0.01,0.01,0.01,12.0,12.0,12.0,12.0
313,501,2.0,0.313,0.01,0.01,0.01,12.0,12.0,12.0,12.0
314,501,2.0,0.314,0.01,0.01,0.01,12.0,12.0,12.0,12.0
315,501,2.0,0.315,0.01,0.01,0.01,12.0,12.0,12.0,12.0
316,501,2.0,0.316,0.01,0.01,0.01,12.0,12.0,12.0,12.0
317,501,2.0,0.317,0.01,0.01,0.01,12.0,12.0,12.0,12.0
318,501,2.0,0.318,0.01,0.01,0.01,12.0,12.0,12.0,12.0
319,501,2.0,0.319,0.01,0.01,0.01,12.0,12.0,12.0,12.0
320,501,2.0,0.32,0.01,0.01,0.01,12.0,12.0,12.0,12.0
321,501,2.0,0.321,0.01,0.01,0.01,12.0,12.0,12.0,12.0
322,501,2.0,0.322,0.01,0.01,0.01,12.0,12.0,12.0,12.0
323,501,2.0,0.323,0.01,0.01,0.01,12.0,12.0,12.0,12.0
324,501,2.0,0.324,0.01,0.01,0.01,12.0,12.0,12.0,12.0
325,501,2.0,0.325,0.01,0.01,0.01,12.0,12.0,12.0,12.0
326,501,2.0,0.326,0.01,0.01,0.01,12.0,12.0,12.0,12.0
327,501,2.0,0.327,0.01,0.01,0.01,12.0,12.0,12.0,12.0
328,501,2.0,0.328,0.01,0.01,0.01,12.0,12.0,12.0,12.0
329,501,2.0,0.329,0.01,0.01,0.01,12.0,12.0,12.0,12.0
330,501,2.0,0.33,0.01,0.01,0.01,12.0,12.0,12.0,12.0
331,501,2.0,0.331,0.01,0.01,0.01,12.0,12.0,12.0,12.0
332,501,2.0,0.332,0.01,0.01,0.01,12.0,12.0,12.0,12.0
333,501,2.0,0.333,0.01,0.01,0.01,12.0,12.0,12.0,12.0
334,501,2.0,0.334,0.01,0.01,0.01,12.0,12.0,12.0,12.0
335,501,2.0,0.335,0.01,0.01,0.01,12.0,12.0,12.0,12.0
336,501,2.0,0.336,0.01,0.01,0.01,12.0,12.0,12.0,12.0
337,501,2.0,0.337,0.01,0.01,0.01,12.0,12.0,12.0,12.0
338,501,2.0,0.338,0.01,0.01,0.01,12.0,12.0,12.0,12.0
339,501,2.0,0.339,0.01,0.01,0.01,12.0,12.0,12.0,12.0
340,501,2.0,0.34,0.01,0.01,0.01,12.0,12.0,12.0,12.0
341,501,2.0,0.341,0.01,0.01,0.01,12.0,12.0,12.0,12.0
342,501,2.0,0.342,0.01,0.01,0.01,12.0,12.0,12.0,12.0
343,501,2.0,0.343,0.01,0.01,0.01,12.0,12.0,12.0,12.0
