,baseline,variation,aggregation_method,USA,EUR,JAP,CHN,BRA,IND,ROW
199,401,4.3,pop_weighted,0.01,0.01,0.01,11.999999999977405,11.999999999977211,3.62671591980487,8.901589731745725
200,401,4.3,negishi,0.1672026820531839,4.531541332396073,4.544205690864484,3.0420914171625,2.8049314913511734,3.2941499834506067,7.269855183708319
201,401,5.1,pop_weighted,0.01,0.01,0.01,12.0,4.120179193884728,12.0,12.0
202,401,5.1,negishi,0.01,0.01,0.01,12.0,11.999999998731704,5.72922149633455,11.36900662776698
203,401,5.2,pop_weighted,0.01,0.01,0.01,5.814824933306412,3.0839616256685813,5.866674981976658,12.0
204,401,5.2,negishi,0.01,0.0596082011427794,0.01,8.352331723532219,9.18187278601631,12.0,11.123671755400691
205,401,5.3,pop_weighted,0.01,0.01,0.01,8.257285168426687,3.2862245569054664,2.271173703510049,7.010819990412537
206,401,5.3,negishi,0.01,0.1741491910156483,0.01,1.433366540081725,3.207269406283747,3.692946593891405,7.287033915388155
207,401,6.1,pop_weighted,0.01,0.01,0.01,12.0,10.23393557320481,12.0,12.0
208,401,6.1,negishi,0.01,0.01,0.01,12.0,8.921057219160375,12.0,11.035740647452103
209,401,6.2,pop_weighted,0.01,0.01,0.01,10.910450856053387,4.484557975495093,11.21391991167292,12.0
210,401,6.2,negishi,0.01,0.01,0.01,12.0,7.250156688865396,8.77728787687597,11.690326193140582
211,401,6.3,pop_weighted,0.01,0.01,0.01,4.431719165677295,4.194268668383994,4.885479278839135,10.627166494057906
